"Key","SourceString","DevComment"
"ar_fighter_nameAdjective","Из раковины","specifically seashell"
"ar_pala_nameAdjective","Из рифов","toughest fish armor_"
"ar_sorc_nameAdjective","Из костей","not so protective mage gear"
"ar_pala_nameAdjective_MI","С клыками",""
"ar_sorc_nameAdjective_MI","С клыками",""
"ar_fighter_nameAdjective_MI","С клыками",""
"ar_fighter_nameMain_head","Забрало",""
"ar_pala_nameMain_head","Шлем",""
"ar_sorc_nameMain_head","Головной убор",""
"ar_sorc_nameMain_shoulder","Плащ",""
"ar_fighter_nameMain_shoulder","Наплечники",""
"ar_pala_nameMain_shoulder","Бармы",""
"ar_sorc_nameMain_arms","Браслеты",""
"ar_fighter_nameMain_arms","Наручи",""
"ar_pala_nameMain_arms","Нарукавники",""
"ar_sorc_nameMain_legs","Ботинки",""
"ar_pala_nameMain_legs","Наголенники",""
"ar_fighter_nameMain_legs","Поножи",""
"ar_sorc_nameMain_torso","Облачение",""
"ar_fighter_nameMain_torso","Торакс",""
"ar_pala_nameMain_torso","Панцирь",""
"xx_weapons_NameAdjective","Ихтианов","all non-Mis (monster infrequents)"
"wp_axe2h_normal_nameMain","Тесак",""
"wp_axe2h_light_nameFullMI","Дымный скипетр",""
"wp_blunt2h_normal_nameMain","Дубина",""
"wp_blunt2h_normal_nameFullMI","Морской громила",""
"wp_bow_normal_nameMain","Лук",""
"wp_bow_normal_nameFullMI","Морское жало",""
"wp_sword_normal_nameMain","Меч",""
"wp_sword_normal_nameFullMI","Гнилой клевец",""
"wp_axe2h_normal_flavortext","Ихтианские шипастые палки — жестокое, но эффективное оружие.",""
"wp_axe2h_light_flavortextMI","Газ в этом скипетре, кажется, делает его легче.",""
"wp_blunt2h_normal_flavortext","Ихтианские шипастые палки — жестокое, но эффективное оружие.",""
"wp_bow_normal_flavortext","Плечами этого лука, похоже, выступают ребра огромной рыбы.",""
"wp_bow_normal_flavortextMI","Плечами этого лука, похоже, выступают ребра огромной рыбы.",""
"ar_sorc_flufftext","Дурно пахнущее тряпье, украшенное амулетами из различных драгоценных камней и морских существ.",""
"ar_pala_flufftext","Костяные доспехи, заговоренные ихтианскими колдунами для защиты от проклятий и порчи.",""
"ar_fighter_flufftext","Грубая броня из веревок, костей и ракушек, обеспечивающая хорошее сочетание защиты и свободы движений.",""
"wp_spear_normal_flavortext","Идеальное оружие для подводной охоты.",""
"wp_spear_normal_flavortextMI","Использовались ихтианами для охоты на китов в глубоких холодных водах.",""
"wp_sword_normal_flavortext","Ихтианы изготавливают свое оружие из костей морских зверей.",""
"wp_sword_normal_flavortextMI","Гнилой, но неожиданно острый кусок кости.",""
"wp_spear_normal_nameMain","Копье",""
"wp_spear_normal_nameFullMI","Морской гарпун",""
"wp_sword_all_desctext","Относительно медленный и тяжелый.",""
"wp_thrown_normal_flavortext","Ихтианские алхимики проводят эксперименты над самыми разными существами, чтобы приспособить их для своих целей.",""
"wp_thrown_normal_nameMain","Морские ежи",""
"xx_weapons_flavorMagic","Лишь сами боги знают, какие темные силы даровали ихтианам их магию.",""
"xx_weapons_flavorPoison","Ихтианские алхимики увлекаются ядовитыми рыбами, ежами и арахнидами.",""
"wp_shield_normal_nameFullMI","Неретидская раковина",""
"wp_shield_normal_nameMain","Щит",""
"wp_shield_normal_flavortext","Кучка кишащих моллюсками досок.",""
"wp_shield_normal_flavortextMI","Изготовлен из раковины огромных размеров.",""
"wp_staff_magic_nameMain","Посох",""
"wp_staff_magic_nameFullMI","Морской жезл",""
"wp_talisman_nameMain","Смесь",""
