"Key","SourceString","DevComment"
"da_quest_00_in_m_tu_escape_nemesis.m_Title","Отчаянный побег",""
"da_quest_00_in_m_tu_escape_nemesis.m_HighVisionGoal","Я должен спастись от Немезиды.",""
"da_quest_00_in_m_tu_escape_nemesis.m_CompletedGoal","Я сбежал от Немезиды.",""
"da_quest_00_in_m_tu_escape_nemesis.m_Summary","Что происходит? Почему богиня Немезида преследует меня? Слава богам, Аристоноя прибыла вовремя, иначе мне никогда бы не удалось сбежать.",""
"da_quest_00_in_m_tu_escape_nemesis.m_CompletedSummary","Мне удалось сбежать, но Немезида убила моего наставника, Аристоноя. Теперь я должен сам найти путь к храму Мойр.",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(0).m_Objectives.Description","Спрыгните с обрыва и бегите",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(1).m_Objectives.Description","Найдите укрытие от Немезиды",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(2).m_Objectives.Description","Бегите через пещеру",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(3).m_Objectives.Description","Поговорите с Аристоноей",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(4).m_Objectives.Description","Отправьтесь вплавь",""
"da_quest_00_in_m_tu_griffin_hunt.m_Title","Королева горы",""
"da_quest_00_in_m_tu_griffin_hunt.m_HighVisionGoal","Я должен отправиться на гору Проти и победить грифона.",""
"da_quest_00_in_m_tu_griffin_hunt.m_CompletedGoal","Я победил грифона и разрушил его гнездо.",""
"da_quest_00_in_m_tu_griffin_hunt.m_Summary","Несколько месяцев грифон и его культисты терроризировали остров Проти. Я получил благословение богов. Пришло время положить конец тирании грифона.",""
"da_quest_00_in_m_tu_griffin_hunt.m_CompletedSummary","Остров Проти в безопасности. Но ни один подвиг не остается безнаказанным...",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(0).m_Objectives.Description","Достигните гнезда грифона",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(1).m_Objectives.Description","Найдите проход в руины",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(2).m_Objectives.Description","Получите благословение святилища",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(3).m_Objectives.Description","Победите грифона",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(4).m_Objectives.Description","Уничтожьте гнездо грифона",""
"da_quest_00_in_m_tu_griffin_hunt.m_QuestInformation(0).m_QuestInformation.HighVisionGoal","Я должен победить грифона и уничтожить его гнездо.",""
"da_quest_00_in_m_tu_village_attack.m_Title","Защита деревни Проти",""
"da_quest_00_in_m_tu_village_attack.m_HighVisionGoal","Я должен спасти жителей деревни от грифонопоклонников.",""
"da_quest_00_in_m_tu_village_attack.m_CompletedGoal","Я защитил деревню",""
"da_quest_00_in_m_tu_village_attack.m_Summary","Грифон снова напал! Его жадные последователи грабят деревню Проти в поисках золота. Жителям деревни нужна моя помощь.",""
"da_quest_00_in_m_tu_village_attack.m_CompletedSummary","Я спас жителей деревни и отразил нападение культа грифона, но они не будут в полной безопасности, пока грифон не будет повержен.",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(0).m_Objectives.Description","Бегите к деревне",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(1).m_Objectives.Description","Освободите деревню от грифонопоклонников",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(2).m_Objectives.Description","Поговорите с Лаодамией в центре деревни",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(3).m_Objectives.Description","Победите грифонопоклонников",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(4).m_Objectives.Description","Поговорите с Лаодамией у ворот деревни",""
"da_quest_prepare_hunt.m_Title","Начало охоты",""
"da_quest_prepare_hunt.m_HighVisionGoal","Я должен подготовиться к охоте на грифона вместе со своей наставницей Аристоноей.",""
"da_quest_prepare_hunt.m_CompletedGoal","Я готов сразиться с грифоном.",""
"da_quest_prepare_hunt.m_Summary","Долгие годы я тренировался на острове Проти вместе со своей наставницей Аристоноей. Теперь я должен подготовиться к самому сложному испытанию. Грифон преследует остров Проти и терроризирует людей при помощи своей шайки культистов. Кто-то должен остановить его.",""
"da_quest_prepare_hunt.m_CompletedSummary","Я получил благословение божественного мастерства из древнего святилища на острове Проти. Аристоноя считает, что теперь я готов к встрече с грифоном. Но она, кажется, обеспокоена. После того как я получил благословение, святилище было повреждено темной энергией. Аристоноя осталась, чтобы выяснить причину.",""
"da_quest_prepare_hunt.m_Objectives(0).m_Objectives.Description","Войдите в таинственную пещеру",""
"da_quest_prepare_hunt.m_Objectives(1).m_Objectives.Description","Подойдите к древнему святилищу",""
"da_quest_prepare_hunt.m_Objectives(2).m_Objectives.Description","Победите мертвых стражей",""
"da_quest_prepare_hunt.m_Objectives(3).m_Objectives.Description","Поговорите с Аристоноей",""
"da_quest_prepare_hunt.m_Objectives(4).m_Objectives.Description","Получите благословение божественного мастерства у алтаря",""
"da_quest_prepare_hunt.m_Objectives(5).m_Objectives.Description","Поговорите с Аристоноей",""
