"Key","SourceString","DevComment"
"wp_bandit_dagger_flavortext","Тонкий кинжал с очень острым острием.",""
"wp_bandit_blunt1h_flavortext","Жестокое оружие, применяемое для дробления костей.",""
"wp_bandit_blunt2h_flavortext","Используется разбойниками для поджигания и домов, и своих врагов.",""
"wp_skeleton_axe1h_flavor","Древний топор, пронизанный молниями.",""
"wp_skeleton_staff_flavortext","Древний посох, отнятый у скелета.",""
"wp_skeleton_axe2h_flavortext","Древнее древковое оружие, в котором главное — ловкость, а не сила.",""
"wp_bandit_dagger_nameMain_MI","Игла",""
"wp_bandit_blunt1h_nameMain","Крушитель",""
"xx_bandit_all_nameAdjective_MI","Бандитов",""
"wp_bandit_blunt2h_nameMain_MI","Факел",""
"wp_bandit_bow_nameMain","Тугой лук",""
"wp_skeleton_axe1h_nameMain","Тесак",""
"xx_skeleton_all_nameAdjective_MI","Мертвецов",""
"wp_skeleton_staff_nameMain","Жезл",""
