"Key","SourceString","DevComment"
"ar_bmage_nameAdjective","Шамана",""
"ar_rogue_nameAdjective","Кентавров",""
"ar_knight_nameAdjective","Грубости",""
"xx_knight_nameAdjective_MI","Наездника",""
"xx_bmage_nameAdjective_MI","Говорящего с духами",""
"xx_rogue_nameAdjective_mi","Ловчего",""
"ar_bmage_nameMain_arms","Запястья",""
"ar_bmage_nameMain_legs","Обмотки",""
"ar_bmage_nameMain_head","Маска",""
"ar_bmage_nameMain_torso","Роба",""
"ar_bmage_nameMain_shoulder","Накидка",""
"ar_knight_nameMain_legs","Кнемиды",""
"ar_rogue_nameMain_legs","Накладки",""
"ar_rogue_nameMain_arms","Нарукавники",""
"ar_knight_nameMain_arms","Наручи",""
"ar_rogue_nameMain_torso","Жилет",""
"ar_knight_nameMain_torso","Кираса",""
"ar_rogue_nameMain_shoulder","Подложки",""
"ar_knight_nameMain_shoulder","Наплечники",""
"ar_rogue_nameMain_head","Колпак",""
"ar_knight_nameMain_head","Тюбетейка",""
"xx_weapons_NameAdjective","Кентавр","all non-Mis (monster infrequents)"
"wp_spear_normal_nameMain","Копье",""
"wp_bow_normal_nameMain","Лук",""
"wp_axe2h_normal_nameMain","Тесак",""
"ar_rogue_flavortext","Кожа и мех обеспечивают кентаврам базовую защиту, не препятствуя при этом их превосходной подвижности.","all"
"ar_bmage_flavortext","Кентавры-ворожеи пользуются уважением в своем племени как умелые воины и могущественные шаманы.","all"
"ar_knight_flavortext","Железная броня сильнейших кентавров-воинов, способная отражать лобовые удары на высокой скорости.","all"
"wp_blunt2h_flavortext","Кентавры пользуются своим огромным ростом, чтобы легко владеть огромным оружием.",""
"wp_bow_normal_flavortext","Лук кентавров, применяемый для охоты на равнинах.",""
"wp_blunt1h_normal_flavortextMI","Тяжелое и мощное оружие, которым орудуют кентавры-чемпионы.",""
"wp_dagger_normal_flavortext","Достаточно тяжелый поясной нож кентавров.",""
"wp_spear_normal_flavortext","Тяжелое копье, которым пользуются кентавры-охотники.",""
"wp_spear_normal_flavortextMI","Изящное копье, которым пользуются кентавры-охотники.",""
"wp_sword_normal_flavortext","Жестокий клинок, часто используемый кентаврами-налетчниками.",""
"wp_throwing_heavy_flavortext","Требуется невиданная сила, чтобы метать такое оружие кентавров.",""
"wp_staff_poison_flavortext","Шаманы-кентавры используют это, чтобы высасывать силу из своих врагов.",""
"wp_shield_light_flavortextMI","Усиленный щит кентавров, предназначенный для отражения стрел соперника.","all"
"wp_staff_fire_flavortext","Огненный посох, применяемый заклинателями Клеймоносцев.",""
"wp_staff_spirit_flavortextMI","Голоса предков кентавров говорят через этот жезл.",""
"wp_shield_light_flavortext","Довольно легкий, но достаточно прочный, чтобы держать удар на бегу.","all"
"wp_axe1h_normal_flavortext","Популярное оружие и инструмент в рядах кентавров.",""
"wp_blunt1h_normal_flavortext","Грубое, но мощное оружие, которым обычно владеют кентавры.",""
"wp_staff_magic_nameMainMI","Жезл",""
"wp_axe2h_normal_flavortext","Большой изогнутый клинок, идеально подходящий для того, чтобы рубить врагов на бегу.",""
"wp_axe1h_normal_nameMain","Резак",""
"wp_sword_nameMain","Хопеш",""
"wp_dagger_normal_nameMain","Кинжал",""
"wp_staff_magic_nameMain","Посох",""
"wp_blunt1h_normal_nameMain","Крушитель",""
"wp_blunt1h_normal_nameMainMI","Скипетр",""
"wp_blunt2h_normal_nameMain","Булава",""
"wp_shield_light_nameMainMI","Баклер",""
"wp_shield_light_nameMain","Щит",""
"wp_throwing_heavy_nameMain","Томагавк",""
