"Key","SourceString","DevComment"
"press_any_key_modal_text_one","Нажмите любую клавишу, чтобы назначить ее на выбранное вами действие!",""
"press_any_key_modal_text_two","Нажмите Esc, чтобы отменить.",""
"input_rebinding_duplicate_modal_key_title","Клавиша уже назначена.",""
"input_rebinding_duplicate_modal_key_text_one","«{KeyNames}» уже занят под «{ActionNames}». Вы действительно хотите ее переназначить?",""
"input_rebinding_duplicate_modal_keys_title","Клавиши уже назначены.",""
"input_rebinding_duplicate_modal_keys_text_one","«{KeyNames}» уже заняты под «{ActionNames}». Вы действительно хотите их переназначить?",""
"input_rebinding_duplicate_modal_confirmation_text","Нажмите {CancelKey}, чтобы отменить, или {ConfirmationKey}, чтобы подтвердить замену сочетания!",""
"InputPreset_Name","Пресет ввода геймпада",""
"InputPreset_Description","Управляет режимом ввода на геймпаде. В пресете по умолчанию для применения умений используются в основном одиночные нажатия клавиш, в то время как в альтернативном пресете большее внимание уделяется комбинациям клавиш, взамен обеспечивая более плавное движение.",""
"InputPreset_Default","По умолчанию",""
"InputPreset_Alternate","Альтернативный",""
"CombineMovementInteractAndAbilityOnLMB_Popup_Title","Внимание",""
"CombineMovementInteractAndAbilityOnLMB_Popup_Description","Чтобы использовать эту возможность обязательно назначьте один из слотов умений на ЛКМ.",""
"InputPreset_Popup_Title","Внимание",""
"InputPreset_Popup_Description","Хотите изменить ваш пресет ввода? Это приведет к сбросу привязки клавиш и других соответствующих настроек.",""
"MouseAndKeyboardCollection_Name","Мышь & Клавиатура",""
"InputPreset_Name","Пресет ввода",""
"InputPreset_Description","Управляет основным режимом ввода. Изменение этого параметра приведет к изменению других настроек, включая привязки клавиш.",""
"InputPreset_Default","По умолчанию",""
"InputPreset_ContextSensitiveLMB","Контекстно-чувствительное ЛКМ",""
"InputPreset_WASD","WASD",""
"InputBehaviorLMB_Name","Поведение ЛКМ",""
"InputBehaviorLMB_Description","В зависимости от вашего выбора применение умений на ЛКМ будет автоматически переходить к взаимодействию/движению.",""
"InputBehaviorLMB_Default","По умолчанию",""
"InputBehaviorLMB_AbilityOrInteract","Умение или взаимодействие",""
"InputBehaviorLMB_AbilityInteractOrMove","Умение, взаимодействие или движение",""
"KeepTargetForRepeatedCasts_Name","Сохранять цель для повторного применения умений",""
"KeepTargetForRepeatedCasts_Description","При удерживании кнопки умения цель будет оставаться неизменной, пока она существует, независимо от того, куда именно направлена атака.",""
"UseFreeAimForStationaryCasts_Name","Свободное нацеливание для статичного применения умений",""
"UseFreeAimForStationaryCasts_Description","Если включить эту функцию при использовании стационарных умений, то прицеливание всегда будет осуществляться в направлении к курсору, а не в центр существ.",""
"DynamicDetails_KeyboardInputAction","Клавиша для действия «{0}»",""
