"Key","SourceString"
"rel_athena_name_01","Сущность эгиды Афины"
"rel_athena_name_02","Олицетворение эгиды Афины"
"rel_athena_name_03","Воплощение эгиды Афины"
"rel_athena_flavortext","Эгида — щит Афины, греческой богини войны."
"rel_hephaistos_name_01","Сущность наковальни Гефеста"
"rel_hephaistos_name_02","Олицетворение наковальни Гефеста"
"rel_hephaistos_name_03","Воплощение наковальни Гефеста"
"rel_hephaistos_flavortext","Гефест — божественный кузнец Олимпа. Его наковальня является сердцем его творений."
"rel_archimedes_name_01","Сущность зеркала Архимеда"
"rel_archimedes_name_02","Олицетворение зеркала Архимеда"
"rel_archimedes_name_03","Воплощение зеркала Архимеда"
"rel_archimedes_flavortext","Архимед был одним из величайших философов и ученых Греции."
"rel_artemis_name_01","Сущность меткости Артемиды"
"rel_artemis_name_02","Олицетворение меткости Артемиды"
"rel_artemis_name_03","Воплощение меткости Артемиды"
"rel_artemis_flavortext","Артемида, греческая богиня охоты, славится своим мастерством владения луком."
"rel_atalanta_name_01","Сущность красоты Аталанты"
"rel_atalanta_name_02","Олицетворение красоты Аталанты"
"rel_atalanta_name_03","Воплощение красоты Аталанты"
"rel_atalanta_flavortext","Известная охотница Аталанта сопровождала аргонавтов в их поисках Золотого руна."
"rel_atlas_name_01","Сущность стойкости Атласа"
"rel_atlas_name_02","Олицетворение стойкости Атласа"
"rel_atlas_name_03","Воплощение стойкости Атласа"
"rel_atlas_flavortext","После войны с богами титан Атлас был осужден вечно нести небеса на своих плечах."
"rel_thanatos_name_01","Сущность клинка Танатоса"
"rel_thanatos_name_02","Олицетворение клинка Танатоса"
"rel_thanatos_name_03","Воплощение клинка Танатоса"
"rel_thanatos_flavortext","Танатос, воплощение смерти, носит меч, обладающий силой разрывать души простых смертных."
"rel_apollo_name_01","Сущность лука Аполлона"
"rel_apollo_name_02","Олицетворение лука Аполлона"
"rel_apollo_name_03","Воплощение лука Аполлона"
"rel_apollo_flavortext","Аполлон — бог света и брат-близнец Артемиды, чье мастерство владения луком может сравниться только с его сестрой."
"rel_charon_name_01","Сущность обола Харона"
"rel_charon_name_02","Олицетворение обола Харона"
"rel_charon_name_03","Воплощение обола Харона"
"rel_charon_flavortext","Харон — паромщик царства мертвых, перевозящий души через реку Стикс к их последнему упокоению. Его символ — обол, монета, обеспечивающая безопасный проход тем, кто за это платит."
"rel_tartaros_name_01","Сущность холода Тартара"
"rel_tartaros_name_02","Олицетворение холода Тартара"
"rel_tartaros_name_03","Воплощение холода Тартара"
"rel_tartaros_flavortext","В самых глубоких глубинах царства мертвых находится Тартар. Холодный, как могила, и окутанный тьмой, именно здесь вершится наказание для тех смертных, что оказались достаточно глупы, чтобы воспротивиться воле богов."
"rel_circe_name_01","Сущность жезла Цирцеи"
"rel_circe_name_02","Олицетворение жезла Цирцеи"
"rel_circe_name_03","Воплощение жезла Цирцеи"
"rel_circe_flavortext","Цирцея, дочь Гелиоса, могущественная волшебница, которая преображает своих врагов с помощью зелий, трав и волшебной палочки."
"rel_polyphemus_name_01","Сущность палицы Полифема"
"rel_polyphemus_name_02","Олицетворение палицы Полифема"
"rel_polyphemus_name_03","Воплощение палицы Полифема"
"rel_polyphemus_flavortext","Полифем — одноглазый великан, сын Посейдона, внушающий страх своей огромной силой. Его оружие и символ — палица, способная сокрушить все на своём пути."
"rel_theseus_name_01","Сущность мужества Тесея"
"rel_theseus_name_02","Олицетворение мужества Тесея"
"rel_theseus_name_03","Воплощение мужества Тесея"
"rel_theseus_flavortext","Тесей, победивший минотавра, олицетворяет мужество, вдохновляющее как смертных, так и богов."
"rel_odysseus_name_01","Сущность хитрости Одиссея"
"rel_odysseus_name_02","Олицетворение хитрости Одиссея"
"rel_odysseus_name_03","Воплощение хитрости Одиссея"
"rel_odysseus_flavortext","Хотя Одиссей не был столь силён и быстр, как герои из других легенд, его грозное коварство делала его достойным противником."
"rel_demeter_name_01","Сущность двойственности Деметры"
"rel_demeter_name_02","Олицетворение двойственности Деметры"
"rel_demeter_name_03","Воплощение двойственности Деметры"
"rel_demeter_flavortext","Деметра, богиня роста и плодородия, в своей скорби превращает мир в зиму. Её двойственность отражает как заботу о изобилии, так и скорбь, которую она переживает."
"rel_eos_name_01","Сущность желания Эос"
"rel_eos_name_02","Олицетворение желания Эос"
"rel_eos_name_03","Воплощение желания Эос"
"rel_eos_flavortext","Эос — олицетворяющая рассвет богиня, которая каждое утро поднимается из своего дома на берегу реки, чтобы принести свет и разогнать ночь."
"rel_dionysos_name_01","Сущность бурдюка Диониса"
"rel_dionysos_name_02","Олицетворение бурдюка Диониса"
"rel_dionysos_name_03","Воплощение бурдюка Диониса"
"rel_dionysos_flavortext","Напиток Диониса, греческого бога вина и веселья, — поистине крепкое варево."
"rel_eris_name_01","Сущность раздора Эрис"
"rel_eris_name_02","Олицетворение раздора Эрис"
"rel_eris_name_03","Воплощение раздора Эрис"
"rel_eris_flavortext","Эрида — богиня раздора и хаоса, которая наслаждается конфликтами как между богами, так и между смертными. Её раздор — это оружие и символ, сеющий раздоры везде, где он соприкасается."
"rel_aphrodite_name_01","Сущность вечной розы Афродиты"
"rel_aphrodite_name_02","Олицетворение вечной розы Афродиты"
"rel_aphrodite_name_03","Воплощение вечной розы Афродиты"
"rel_aphrodite_flavortext","Вечная роза Афродиты сияет красотой, превосходящей смертное понимание. Она – символ её бесконечной любви и страсти."
"rel_skylla_name_01","Сущность бешенства Сциллы"
"rel_skylla_name_02","Олицетворение бешенства Сциллы"
"rel_skylla_name_03","Воплощение бешенства Сциллы"
"rel_skylla_flavortext","Будучи нежной нимфой, несправедливо превращенной в монстра, Сцилла стала существом чистой ярости и голода."
"rel_gaia_name_01","Сущность благословения Геи"
"rel_gaia_name_02","Олицетворение благословения Геи"
"rel_gaia_name_03","Воплощение благословения Геи"
"rel_gaia_flavortext","Гея — изначальная богиня земли, мать Тифона и Урана. Её благословение дарует жизнь и плодородие всему живому."
"rel_goldenfleece_name_01","Сущность Золотого руна"
"rel_goldenfleece_name_02","Олицетворение Золотого руна"
"rel_goldenfleece_name_03","Воплощение Золотого руна"
