"Key","SourceString","DevComment"
"dt_lore_intro_chapter.00_m_tu_note_from_mentor.Heading","Заметка наставницы",""
"dt_lore_intro_chapter.00_m_tu_note_from_mentor.TextBody","«От Аристонои, вашей наставницы и друга. \r\n\r\nНаверное, тебе будет радостно узнать, что мы не будем тренироваться этим утром. По правде говоря, я мало чему могу тебя научить. \r\n\r\nПрости, если это прозвучит сентиментально. Я никогда не думала, что буду воспитывать ребенка, и не знала, как это сделать. Поэтому я обучила тебя. Я научила тебя тому, что, как я надеялась, поможет тебе выжить.\r\n\r\n Я знаю, у тебя есть вопросы. О том, откуда ты родом. О том, для чего все эти тренировки. \r\n\r\nВстретимся сегодня днем на обычном месте, через мост. Я должна тебе кое-что показать».",""
"dt_lore_intro_chapter.00_s_ares_in_a_jar.Heading","Странное святилище",""
"dt_lore_intro_chapter.00_s_ares_in_a_jar.TextBody","Святилище Гермеса. Чего-то не хватает.",""
"dt_lore_intro_chapter.00_m_tu_mastery_shrine.Heading","Дары Ахиллеса",""
"dt_lore_intro_chapter.00_m_tu_mastery_shrine.TextBody","«И было предсказано Судьбами, что сын Фетиды превзойдет своего отца в славе, поэтому ни один бог не хотел связываться с нимфой. Но она вышла замуж за смертного Пелея и, когда родился ее сын, принесла его в святилище божественного мастерства, чтобы наделить дарами. Его звали Ахиллес, величайший из всех греков».",""
"dt_lore_intro_chapter.00_s_tu_boat.Heading","Рыболовная лодка",""
"dt_lore_intro_chapter.00_s_tu_boat.TextBody","Однажды Аристоноя взяла тебя на рыбалку, но ни один из вас не смог ничего поймать.",""
"dt_lore_intro_chapter.00_s_epitaph_for_patricus.Heading","Свежая эпитафия",""
"dt_lore_intro_chapter.00_s_epitaph_for_patricus.TextBody","«Патрик, ты был самым преданным псом, о котором я мог только мечтать. Хоть ты и был еще мал, в твоей груди было сердце льва».",""
