"Key","SourceString","DevComment"
"back","Назад",""
"continue","Продолжить",""
"ok","Ок","Used for acknowledgements. Not to confirm in a yes/no context"
"cancel","Отменить",""
"description","Описание","Used as a header for a summary description in details views, e.g. in tooltips for items, spells, etc."
"information","Информация",""
"tooltip_entry_label_format","{Label}: ","Used in tooltips where we want to display label/value pairs."
"generic_label_format","{Label}:",""
"accept","Принять",""
"inspect","Осмотреть",""
"discard","Отменить","Describes changes that we want to discard."
"cost","Стоимость","The cost of something in gold / currency."
"loading","Загрузка",""
"details","Детали",""
"filter","Фильтр",""
"space_to_skip","Нажмите Space, чтобы пропустить",""
"select","Выбрать",""
"activate","Активировать",""
"level","Ур.",""
"start","Начать",""
"search","Поиск",""
"close","Закрыть",""
"yes","Да","Used in a yes/no context"
"no","Нет","Used in a yes/no context"
"warning","Предупреждение",""
"send","Отправить",""
"menu","Меню",""
"press_again_to_skip","Нажмите снова, чтобы пропустить",""
"reset","Сбросить",""
"preview","Предпросмотр",""
"skip","Пропустить",""
"value_pair","{Current} / {Max}","Used in UI to display value pairs. E.g. ""Current Health / Max Health"""
"next","Вперед",""
"advanced","Продвинутое",""
"none","Нет",""
"undo","Отменить",""
"redo","Изменить",""
"copy","Копировать",""
"apply","Принять",""
"immune","Неуязвимость",""
"22yearslater","22 года спустя",""
"currently_unavailable","Пока недоступно",""
"all","Все",""
"players","Игроки",""
"ping","Пинг",""
"player","Игрок","Used as fallback whenever Steam/online player name is not available"
"color_hue","Глубина","used in the context of HSV color space."
"color_saturation","Насыщенность","used in the context of HSV color space."
"color_value","Значение","used in the context of HSV color space."
"level_value","Ур. {Value}",""
"level_short_value","Ур. {Value}",""
