"Key","SourceString","DevComment"
"dt_lore_northern_beaches.02_nb_m_if_ancient_skylla_note.Heading","Старинная записка",""
"dt_lore_northern_beaches.02_nb_m_if_ancient_skylla_note.TextBody","Эти торопливые каракули потускнели от времени:\n\n«...пришлите подкрепление! Сцилла, она...»",""
"dt_lore_northern_beaches.02_nb_m_mr_priest_skeletons_and_scroll.Heading","Старинное предупреждение",""
"dt_lore_northern_beaches.02_nb_m_mr_priest_skeletons_and_scroll.TextBody","На краю храма лежат два закованных в цепи скелета, вероятно, останки древних жрецов, служивших в этом месте. Рядом с одним из них лежит пыльный свиток:\n\n«Жрецы Кроноса остались внизу, замурованные внутри. Пусть они сгниют вместе со своими любимыми свитками, никогда больше не увидев света солнца. Такова судьба тех, кто ищет запретные знания. Предупреждаем тех, кто осмелится ступить в эти оскверненные залы».",""
"dt_lore_northern_beaches.02_nb_m_mr_titanomachy.Heading","Титаномахия",""
"dt_lore_northern_beaches.02_nb_m_mr_titanomachy.TextBody","«Зевс изгнал тело отца в Тартар, а сам вместе с братьями и сестрами объединился, собрав могущественных союзников, чтобы сразиться с оставшимися Титанами в десятилетней битве, от которой вскипали моря и трескалась земля...»",""
"dt_lore_northern_beaches.02_nb_m_mr_nature_of_titans.Heading","Природа божественности",""
"dt_lore_northern_beaches.02_nb_m_mr_nature_of_titans.TextBody","«...следует помнить, что \""Титан\"" — это титул. Титаны — это одна группа богов, старшее поколение во главе с Кроносом, а олимпийцы — другая, младшее поколение во главе с Зевсом, но природа их божественности остается неизменной...»",""
"dt_lore_northern_beaches.02_nb_m_mr_wash_away_time.Heading","Пыльные каракули",""
"dt_lore_northern_beaches.02_nb_m_mr_wash_away_time.TextBody","«...время идет, изнашивая нас морщинами и болячками... но, призвав его хозяина, мы можем смыть их, освежить молодость, продлевая наши нити все дольше и дольше...»",""
"dt_lore_northern_beaches.02_nb_m_mr_the_sickle.Heading","Коса",""
"dt_lore_northern_beaches.02_nb_m_mr_the_sickle.TextBody","«В его могучей руке — серп из адамантия, на который капает кровь из чресел его отца».",""
"dt_lore_northern_beaches.02_nb_m_mr_the_eaten_children.Heading","Пятеро съеденных",""
